,question.stem,keywords,answer
0,"A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?","['door', 'security', 'revolving', 'direction', 'travel']",bank
1,What do people aim to do at work?,"['work', 'people', 'aim']",complete job
2,Where would you find magazines along side many other printed works?,"['magazines', 'printed', 'works']",bookstore
3,Where are  you likely to find a hamburger?,"['hamburger', 'likely']",fast food restaurant
4,James was looking for a good place to buy farmland.  Where might he look?,"['farmland', 'james', 'place', 'looking', 'look']",midwest
5,What island country is ferret popular?,"['ferret', 'island', 'country', 'popular']",great britain
6,In what Spanish speaking North American country can you get a great cup of coffee?,"['spanish', 'coffee', 'country', 'cup', 'american']",
7,What do animals do when an enemy is approaching?,"['animals', 'enemy', 'approaching']",listen to each other
8,Reading newspaper one of many ways to practice your what?,"['reading', 'newspaper', 'practice', 'ways']",literacy
9,What do people typically do while playing guitar?,"['guitar', 'playing', 'typically', 'people']",singing
10,What would vinyl be an odd thing to replace?,"['vinyl', 'replace', 'thing', 'odd']",wallpaper
11,"If you want harmony, what is something you should try to do with the world?","['harmony', 'world', 'want', 'try']",make peace
12,Where does a heifer's master live?,"['heifer', 'master', 'live', 'does']",farm house
13,Aside from water and nourishment what does your dog need?,"['nourishment', 'dog', 'water', 'need', 'does']",lots of attention
14,Janet was watching the film because she liked what?,"['janet', 'film', 'watching', 'liked']",being entertained
15,What are you waiting alongside with when you're in a reception area?,"['reception', 'waiting', 'alongside', 'area']",people
16,When drinking booze what can you do to stay busy?,"['drinking', 'booze', 'busy', 'stay']",examine thing
17,A fencing thrust with a sharp sword towards a person would result in what?,"['fencing', 'sword', 'thrust', 'sharp', 'result']",puncture wound
18,"Unlike a spider and his many sight seers, people only have what?","['sight', 'seers', 'spider', 'people', 'unlike']",two eyes
19,Where do adults use glue sticks?,"['glue', 'sticks', 'adults', 'use']",office
20,What could go on top of wood?,['wood'],carpet
21,"The artist was sitting quietly pondering, then suddenly he began to paint when what struck him?","['artist', 'paint', 'struck', 'pondering', 'suddenly']",inspiration
22,"Though the thin film seemed fragile, for it's intended purpose it was actually nearly what?","['film', 'fragile', 'purpose', 'nearly', 'intended']",indestructible
23,Where could you find a toilet that only friends can use?,"['toilet', 'friends', 'use']",apartment
24,"What is someone who isn't clever, bright, or competent called?","['competent', 'clever', 'bright', 'called', 'isn']",stupid
25,When wildlife reproduce we often refer to what comes out as what?,"['reproduce', 'wildlife', 'comes', 'refer']",offspring
26,"The weasel was becoming a problem, it kept getting into the chicken eggs kept in the what?","['weasel', 'eggs', 'chicken', 'problem', 'kept']",barn
27,Blue read material outside of his comfort zone because he wanted to gain what?,"['read', 'blue', 'material', 'comfort', 'gain']",new perspective
28,After he got hired he hoped for success at his what?,"['success', 'hired', 'hoped', 'got']",new job
29,Committing perjury is a serious what?,"['perjury', 'committing']",crime
30,If you are prone to postpone work what will you have to do in order to finish on time?,"['postpone', 'work', 'finish', 'time', 'order']",hasten
31,James wanted to find an old underground map from the 50s.  Where might he look for one?,"['map', 'underground', 'james', '50s', 'look']",
32,"Sean was in a rush to get home, but the light turned yellow and he was forced to do what?","['sean', 'light', 'yellow', 'turned', 'home']",slow down
33,Where would a person be doing when having to wait their turn?,"['turn', 'wait', 'person', 'having', 'doing']",stand in line
