,id,question.question_concept,question.choices,question.stem,keywords
0,90b30172e645ff91f7171a048582eb8b,townhouse,"[{'label': 'A', 'text': 'suburban development'}, {'label': 'B', 'text': 'apartment building'}, {'label': 'C', 'text': 'bus stop'}, {'label': 'D', 'text': 'michigan'}, {'label': 'E', 'text': 'suburbs'}]","The townhouse was a hard sell for the realtor, it was right next to a high rise what?","['townhouse', 'realtor', 'sell', 'rise', 'high']"
1,000990552527b1353f98f1e1a7dfc643,star,"[{'label': 'A', 'text': 'hollywood'}, {'label': 'B', 'text': 'skyline'}, {'label': 'C', 'text': 'outer space'}, {'label': 'D', 'text': 'constellation'}, {'label': 'E', 'text': 'solar system'}]",There is a star at the center of what group of celestial bodies?,"['star', 'celestial', 'center', 'bodies', 'group']"
2,dca0f2859f3c3dd43a9b2bfeff4936a8,kids,"[{'label': 'A', 'text': 'ponder'}, {'label': 'B', 'text': 'become adults'}, {'label': 'C', 'text': 'wonder about'}, {'label': 'D', 'text': 'open door'}, {'label': 'E', 'text': 'distracting'}]",What were the kids doing as they looked up at the sky and clouds?,"['clouds', 'kids', 'sky', 'looked', 'doing']"
3,8795a949b39702af0e452c9e1229046d,person,"[{'label': 'A', 'text': 'own house'}, {'label': 'B', 'text': 'own self'}, {'label': 'C', 'text': 'wonderful memories'}, {'label': 'D', 'text': 'know truth'}, {'label': 'E', 'text': 'intelligent children'}]",The person taught an advanced class only for who?,"['taught', 'class', 'advanced', 'person']"
4,1f74ea1f73b9f5d91a665b4d90218a6e,ignorance,"[{'label': 'A', 'text': 'find truth'}, {'label': 'B', 'text': 'hostility'}, {'label': 'C', 'text': 'bliss'}, {'label': 'D', 'text': 'accidents'}, {'label': 'E', 'text': 'damage'}]",What is a likely consequence of ignorance of rules?,"['consequence', 'ignorance', 'rules', 'likely']"
5,0b7734f608c188350573247e3ef2a00d,dental office,"[{'label': 'A', 'text': 'neighborhood'}, {'label': 'B', 'text': 'town'}, {'label': 'C', 'text': 'street'}, {'label': 'D', 'text': 'office building'}, {'label': 'E', 'text': 'city'}]","After graduating the dentist set up his dental office back where he grew up, he wanted to always live in his home what?","['dentist', 'dental', 'office', 'home', 'graduating']"
6,d8d5e97e8e7f90712a81b14aee6f3627,blade,"[{'label': 'A', 'text': 'cup'}, {'label': 'B', 'text': 'fan'}, {'label': 'C', 'text': 'chuck'}, {'label': 'D', 'text': 'sword'}, {'label': 'E', 'text': 'spatula'}]",Something that has a long and sharp blade is a?,"['blade', 'sharp', 'long']"
7,8d916be530b91e6269b1d475601ae7ab,doing housework,"[{'label': 'A', 'text': 'sneezing'}, {'label': 'B', 'text': 'satisfaction'}, {'label': 'C', 'text': 'tiredness'}, {'label': 'D', 'text': 'backache'}, {'label': 'E', 'text': 'get tired'}]",What will you experience after doing housework for a long time?,"['housework', 'experience', 'doing', 'long', 'time']"
8,04919ff8acd9c71a0d7f1383255512b3,writing program,"[{'label': 'A', 'text': 'bugs'}, {'label': 'B', 'text': 'frustration'}, {'label': 'C', 'text': 'need to integrate'}, {'label': 'D', 'text': 'loop'}, {'label': 'E', 'text': 'satisfaction'}]",What might a successful writing program cause?,"['writing', 'program', 'successful', 'cause']"
9,a1f4dfbe9a3f49d4a84c2283e15d4c99,check,"[{'label': 'A', 'text': 'wallet'}, {'label': 'B', 'text': 'pay envelope'}, {'label': 'C', 'text': 'bedside table'}, {'label': 'D', 'text': 'desk drawer'}, {'label': 'E', 'text': 'cash register'}]","The man wanted to telegram the check, so where did he place it?","['telegram', 'place', 'check', 'wanted', 'man']"
10,5929f5704637184dc3390dd6964cacca,sink,"[{'label': 'A', 'text': 'home'}, {'label': 'B', 'text': ""neighbor's house""}, {'label': 'C', 'text': 'laundry room'}, {'label': 'D', 'text': 'car'}, {'label': 'E', 'text': 'apartment'}]",John was worried when a sink hold opened in his yard.  It if was any bigger it might have swallowed his what?,"['sink', 'swallowed', 'john', 'worried', 'yard']"
11,b761674a4096d85a7f548604e8ca4f92,bird,"[{'label': 'A', 'text': 'cage'}, {'label': 'B', 'text': 'box'}, {'label': 'C', 'text': 'nest'}, {'label': 'D', 'text': 'countryside'}, {'label': 'E', 'text': 'roof'}]","The bird wanted to fly, but couldn't, where was it?","['bird', 'fly', 'couldn', 'wanted']"
12,6816062213d9298fbe40876b1be4e634,underground map,"[{'label': 'A', 'text': 'bathroom'}, {'label': 'B', 'text': 'library'}, {'label': 'C', 'text': 'super market'}, {'label': 'D', 'text': 'subway station'}, {'label': 'E', 'text': ""county engineer's office""}]",Stan studied the underground map carefully.  He never took this route before and needed to know where to go.  What was he looking for on the map?,"['map', 'stan', 'route', 'underground', 'looking']"
13,1891bccf27335dbc43201c9790e0996e,cup of coffee,"[{'label': 'A', 'text': 'desk'}, {'label': 'B', 'text': 'purse'}, {'label': 'C', 'text': 'table'}, {'label': 'D', 'text': 'coffee shop'}, {'label': 'E', 'text': 'mexico'}]",Where do most people keep their cup of coffee while working?,"['coffee', 'cup', 'people', 'working']"
14,6917399ea434e6c484459f895c72ef90,well,"[{'label': 'A', 'text': 'kansas'}, {'label': 'B', 'text': 'ground'}, {'label': 'C', 'text': 'oil field'}, {'label': 'D', 'text': 'countryside'}, {'label': 'E', 'text': 'dry'}]",What kind of well is likely to create controversy?,"['controversy', 'create', 'likely', 'kind']"
15,a11bcfa54ff513de5a642a566b4c206c,clock,"[{'label': 'A', 'text': 'stop working'}, {'label': 'B', 'text': 'dead batteries'}, {'label': 'C', 'text': 'fail to work'}, {'label': 'D', 'text': 'time event'}, {'label': 'E', 'text': 'working correctly'}]","If a clock is not ticking, what is its likely status?","['clock', 'ticking', 'status', 'likely']"
16,c7c5b885f47cc8889ae4dffa5bf77b14,cooling off,"[{'label': 'A', 'text': 'chills'}, {'label': 'B', 'text': 'calm down'}, {'label': 'C', 'text': 'better decisions'}, {'label': 'D', 'text': 'dance'}, {'label': 'E', 'text': 'revenge'}]","After the tussle everybody was cooling off, the person who stopped the fight told them to just what?","['tussle', 'fight', 'stopped', 'cooling', 'everybody']"
17,f15c3dd96d02bc6424e9ca888ebbb621,love of music,"[{'label': 'A', 'text': 'play piano'}, {'label': 'B', 'text': 'attend classical concert'}, {'label': 'C', 'text': 'play violin'}, {'label': 'D', 'text': 'listen to radio'}, {'label': 'E', 'text': 'go to opera'}]",What would you do if you have a love of music involving strings and you do not have an electronics near you?,"['strings', 'music', 'electronics', 'near', 'love']"
18,5f51c728ff1968db2e684335dcc72c6d,oven,"[{'label': 'A', 'text': 'baking food'}, {'label': 'B', 'text': 'cool temperature'}, {'label': 'C', 'text': 'field'}, {'label': 'D', 'text': 'roast'}, {'label': 'E', 'text': 'bake'}]","He had to put the dough in the oven, what did he want to do with that dough?","['dough', 'oven', 'want', 'did']"
19,fd2f6692cc27cce4c94997b8d4ef7987,skate,"[{'label': 'A', 'text': 'spin'}, {'label': 'B', 'text': 'romance'}, {'label': 'C', 'text': 'hold hands'}, {'label': 'D', 'text': 'fall down'}, {'label': 'E', 'text': 'grab side railing'}]","When someone doesn't know how to skate well, they normally do what to stay up?","['skate', 'normally', 'doesn', 'stay', 'know']"
20,eb252ee1a725a738d8c956caec8791fd,soccer field,"[{'label': 'A', 'text': 'playground'}, {'label': 'B', 'text': 'backyard'}, {'label': 'C', 'text': 'countryside'}, {'label': 'D', 'text': 'mexico'}, {'label': 'E', 'text': 'park'}]","If I am at a soccer field, and hear small children laughing and screaming nearby, where am I?","['children', 'nearby', 'screaming', 'field', 'soccer']"
21,6441acd650f06440079c9ccba488a2d3,eating dinner,"[{'label': 'A', 'text': 'heartburn'}, {'label': 'B', 'text': 'feel better'}, {'label': 'C', 'text': 'tummy ache'}, {'label': 'D', 'text': 'indigestion'}, {'label': 'E', 'text': 'illness'}]","After eating dinner, he threw it up due to being poisoned, what happened afterwards?","['poisoned', 'dinner', 'eating', 'happened', 'threw']"
22,a2bfdb13e8f6f6945b827c71ab350c99,breathing,"[{'label': 'A', 'text': 'warm air'}, {'label': 'B', 'text': 'continue to live'}, {'label': 'C', 'text': 'going to sleep'}, {'label': 'D', 'text': 'hyperventilation'}, {'label': 'E', 'text': 'stay alive'}]",When a person is breathing in a paper bag what are they trying to do?,"['breathing', 'bag', 'paper', 'person', 'trying']"
23,99ee95c1d5a7a8e4409b6a17137dbf66,beaver,"[{'label': 'A', 'text': 'australia'}, {'label': 'B', 'text': 'countryside'}, {'label': 'C', 'text': 'zoo'}, {'label': 'D', 'text': 'tannery'}, {'label': 'E', 'text': 'dictionary'}]",Where would you look to find out what a beaver is?,"['beaver', 'look']"
24,9b0027a8bdbb4aa5e33cc75bd84aa0b5,grocery store,"[{'label': 'A', 'text': 'town'}, {'label': 'B', 'text': 'strip mall'}, {'label': 'C', 'text': 'street'}, {'label': 'D', 'text': 'neighborhood'}, {'label': 'E', 'text': 'strip mall'}]",What group of people's homes will usually have a grocery store?,"['grocery', 'homes', 'store', 'people', 'group']"
25,9d2f3cfa032655fb72ade38941def326,death,"[{'label': 'A', 'text': 'happen quickly'}, {'label': 'B', 'text': 'happen to'}, {'label': 'C', 'text': 'last forever'}, {'label': 'D', 'text': 'bring sorrow'}, {'label': 'E', 'text': 'sad'}]","Death came in the form of an airplane crash, how did it occur?","['airplane', 'death', 'crash', 'occur', 'came']"
26,df4368b976f1f7d2e2ea4807d4c4c045,swimming pool,"[{'label': 'A', 'text': 'california'}, {'label': 'B', 'text': 'home'}, {'label': 'C', 'text': 'resort hotel'}, {'label': 'D', 'text': 'ymca'}, {'label': 'E', 'text': 'motel'}]","I was in a swimming pool next to the Hollywood sign, where was I?","['hollywood', 'pool', 'swimming', 'sign']"
27,6843480c5c05eca606b83e9c925da43a,churchyard,"[{'label': 'A', 'text': 'valley'}, {'label': 'B', 'text': 'maine'}, {'label': 'C', 'text': 'village'}, {'label': 'D', 'text': 'england'}, {'label': 'E', 'text': 'city'}]",Sam found himself in a small churchyard surrounded by tall buildings.  Where might he have been?,"['churchyard', 'sam', 'buildings', 'surrounded', 'tall']"
