,question.stem,keywords
0,"The townhouse was a hard sell for the realtor, it was right next to a high rise what?","['townhouse', 'realtor', 'sell', 'rise', 'high']"
1,There is a star at the center of what group of celestial bodies?,"['star', 'celestial', 'center', 'bodies', 'group']"
2,What were the kids doing as they looked up at the sky and clouds?,"['clouds', 'kids', 'sky', 'looked', 'doing']"
3,The person taught an advanced class only for who?,"['taught', 'class', 'advanced', 'person']"
4,What is a likely consequence of ignorance of rules?,"['consequence', 'ignorance', 'rules', 'likely']"
5,"After graduating the dentist set up his dental office back where he grew up, he wanted to always live in his home what?","['dentist', 'dental', 'office', 'home', 'graduating']"
6,Something that has a long and sharp blade is a?,"['blade', 'sharp', 'long']"
7,What will you experience after doing housework for a long time?,"['housework', 'experience', 'doing', 'long', 'time']"
8,What might a successful writing program cause?,"['writing', 'program', 'successful', 'cause']"
9,"The man wanted to telegram the check, so where did he place it?","['telegram', 'place', 'check', 'wanted', 'man']"
10,John was worried when a sink hold opened in his yard.  It if was any bigger it might have swallowed his what?,"['sink', 'swallowed', 'john', 'worried', 'yard']"
11,"The bird wanted to fly, but couldn't, where was it?","['bird', 'fly', 'couldn', 'wanted']"
12,Stan studied the underground map carefully.  He never took this route before and needed to know where to go.  What was he looking for on the map?,"['map', 'stan', 'route', 'underground', 'looking']"
13,Where do most people keep their cup of coffee while working?,"['coffee', 'cup', 'people', 'working']"
14,What kind of well is likely to create controversy?,"['controversy', 'create', 'likely', 'kind']"
15,"If a clock is not ticking, what is its likely status?","['clock', 'ticking', 'status', 'likely']"
16,"After the tussle everybody was cooling off, the person who stopped the fight told them to just what?","['tussle', 'fight', 'stopped', 'cooling', 'everybody']"
17,What would you do if you have a love of music involving strings and you do not have an electronics near you?,"['strings', 'music', 'electronics', 'near', 'love']"
18,"He had to put the dough in the oven, what did he want to do with that dough?","['dough', 'oven', 'want', 'did']"
19,"When someone doesn't know how to skate well, they normally do what to stay up?","['skate', 'normally', 'doesn', 'stay', 'know']"
20,"If I am at a soccer field, and hear small children laughing and screaming nearby, where am I?","['children', 'nearby', 'screaming', 'field', 'soccer']"
21,"After eating dinner, he threw it up due to being poisoned, what happened afterwards?","['poisoned', 'dinner', 'eating', 'happened', 'threw']"
22,When a person is breathing in a paper bag what are they trying to do?,"['breathing', 'bag', 'paper', 'person', 'trying']"
23,Where would you look to find out what a beaver is?,"['beaver', 'look']"
24,What group of people's homes will usually have a grocery store?,"['grocery', 'homes', 'store', 'people', 'group']"
25,"Death came in the form of an airplane crash, how did it occur?","['airplane', 'death', 'crash', 'occur', 'came']"
26,"I was in a swimming pool next to the Hollywood sign, where was I?","['hollywood', 'pool', 'swimming', 'sign']"
27,Sam found himself in a small churchyard surrounded by tall buildings.  Where might he have been?,"['churchyard', 'sam', 'buildings', 'surrounded', 'tall']"
28,What has more than four walls inside of it and might contain a bookcase?,"['bookcase', 'walls', 'inside', 'contain']"
29,Where do crumbs end up after they fall of your plate?,"['crumbs', 'plate', 'fall', 'end']"
30,What could happen to a soul after death?,"['soul', 'death', 'happen']"
31,Where would you get silicone if you do not have any?,['silicone']
32,"The office used a lot of paper, they were constantly running out of it using the what?","['paper', 'office', 'using', 'used', 'lot']"
33,"Printed news struggled in the modern era, with the instant internet the newspapers just felt like what?","['newspapers', 'news', 'internet', 'modern', 'printed']"
34,"She was really wound up about the test, her roommate told her to relax and what?","['relax', 'test', 'roommate', 'wound', 'really']"
35,"The child's wild imagination made him able to see story that he read, he was able to do what with the story?","['imagination', 'child', 'story', 'read', 'wild']"
36,Where would you most commonly find a stop sign?,"['sign', 'commonly', 'stop']"
37,Where would you find a weasel that is not alive?,"['weasel', 'alive']"
38,What part of some furniture could you put some stamps in?,"['stamps', 'furniture']"
39,What is a good learning method known for?,"['learning', 'method', 'known', 'good']"
40,"The bat needed to go back to the benched players, where did it go?","['bat', 'benched', 'players', 'did', 'needed']"
41,From where is a pizza removed before it is served?,"['pizza', 'served', 'removed']"
42,There is normally music at the beginning and end of the programming you watch on what?,"['music', 'beginning', 'watch', 'end', 'normally']"
43,Where is a weasel likely to have an accent?,"['weasel', 'accent', 'likely']"
44,"The man wanted to learn about United States presidents, where should he look?","['presidents', 'learn', 'look', 'states', 'united']"
45,"The child tried to put a band-aid on the pet, his mom stopped him and explained they were only for skin of who?","['skin', 'pet', 'child', 'aid', 'mom']"
46,What can happen between two people judging a situation differently?,"['judging', 'situation', 'differently', 'people', 'happen']"
47,"The conductor was pompous and wanted his platform higher, he wanted to make sure he could be seen clearly from every seat in the what?","['conductor', 'seat', 'pompous', 'platform', 'higher']"
48,How could a weasel go to another continent?,"['weasel', 'continent']"
49,Where can you find all of space?,['space']
50,"The handle broke on a tool that James needed.  It was a long metal handle, with springs in it.  What was the tool?","['tool', 'handle', 'metal', 'springs', 'james']"
51,Jenny and all of her friends go to a church. So do all of her neighbors and everyone she knows.  There is no one in her area that doesn't go to church.  Where might she live?,"['church', 'jenny', 'neighbors', 'area', 'friends']"
52,What could happen to you after you have been sitting quietly and then are offered a job?,"['job', 'quietly', 'sitting', 'happen', 'offered']"
53,"If a heifer were living in a rural area with other domesticated animals, what would that area be called?","['heifer', 'rural', 'domesticated', 'area', 'animals']"
54,"A person is an area where there is not a prison anywhere nearby, only grass where are they likely to be?","['prison', 'person', 'grass', 'nearby', 'area']"
55,What happens when hunger is not sated?,"['hunger', 'sated', 'happens']"
56,"If one picked many flowers to display, what would they put them in?","['flowers', 'display', 'picked']"
57,"Even though legality is questionable, a lot of people have a pet ferret all over where?","['ferret', 'pet', 'legality', 'people', 'lot']"
58,He worked in what large sorting area moving boxes with many a beam overhead?,"['boxes', 'overhead', 'beam', 'sorting', 'moving']"
59,Where did the balloon go when the child lost control of it?,"['balloon', 'child', 'lost', 'control', 'did']"
60,Why would you be able to see through a door?,"['door', 'able']"
61,Where would you sit in a chair while hearing about sin?,"['sin', 'sit', 'chair', 'hearing']"
62,"Reading the instructions was difficult, it took all his what?","['instructions', 'difficult', 'reading', 'took']"
63,Where could you find millions of accordion?,"['accordion', 'millions']"
64,A fart is something that is known to?,"['fart', 'known']"
65,Where is a personal rosebush likely to be found?,"['rosebush', 'personal', 'likely']"
66,James took his dog for a walk in a place where there were picnics.   Where might he have taken his dog?,"['picnics', 'dog', 'james', 'place', 'walk']"
67,On what is your chicken usually presented to you?,"['chicken', 'usually', 'presented']"
68,"She found the  vintage dress beautiful, this was despite that it looked very what compared to the other's elaborate dresses?","['dresses', 'dress', 'vintage', 'compared', 'looked']"
69,In what environment would you find a marmoset?,"['marmoset', 'environment']"
70,What about a baseball makes it roll?,"['roll', 'baseball', 'makes']"
71,Billy didn't like the darkness.  It was so dark that he couldn't make out any action.  He thought that these would be better quality.,"['darkness', 'dark', 'billy', 'quality', 'couldn']"
72,Where do people keep cups?,"['cups', 'people']"
73,Where would you be landing if you were descending from a flight?,"['landing', 'descending', 'flight']"
74,Where was there previously a mammoth?,"['mammoth', 'previously']"
75,"If someone is standing in front of the class with index cards, what are they doing?","['class', 'cards', 'index', 'standing', 'doing']"
76,Where could you find more than a few barbershop?,['barbershop']
77,Sarah was analyzing the evidence because she didn't think she knew enough regarding it.   She wanted to do what?,"['sarah', 'analyzing', 'evidence', 'think', 'knew']"
78,A koala lives alone.  How might you describe its habitat?,"['koala', 'habitat', 'lives']"
79,What do you need to do while hiking to not get sick?,"['hiking', 'sick', 'need']"
80,The black footed ferret is settling in large numbers in what geographic region?,"['ferret', 'geographic', 'region', 'footed', 'settling']"
81,What could you have but still not be able to be hearing testimony if it is damaged?,"['testimony', 'hearing', 'damaged', 'able']"
82,Where might an antique harpischord be found?,"['harpischord', 'antique']"
83,What would a homeless person need if they already have a fire to stand next to?,"['homeless', 'stand', 'person', 'need']"
84,"If an animal has gone days without food, what is its likely desire?","['food', 'desire', 'animal', 'days', 'likely']"
85,"Spam comes in a can, what other type of similar meat comes in a can?","['meat', 'spam', 'type', 'similar', 'comes']"
86,Grapes are often depicted in what sort of artistic expression involving pigments?,"['pigments', 'grapes', 'artistic', 'depicted', 'expression']"
87,"When fixing a light bulb to a larger piece of furniture, what is created?","['bulb', 'furniture', 'light', 'fixing', 'piece']"
88,"The character in the horror story was afraid to go to sleep, this is because the monster came upon him in a what?","['horror', 'monster', 'afraid', 'sleep', 'story']"
89,"If you have some wool, what could you use it for?","['wool', 'use']"
90,Where could you get something that is made out of wool and ready to use?,"['wool', 'use', 'ready']"
91,The captain made an order about a knot and the who did it?,"['knot', 'captain', 'order', 'did']"
92,"He enjoyed releasing energy in a healthy way, he always made time for what?","['energy', 'time', 'healthy', 'releasing', 'enjoyed']"
93,James and Jim were clerks who sorted stuff.  Where might they work?,"['clerks', 'jim', 'james', 'work', 'stuff']"
94,A gazelle is the mascot of their high school.  Jane stood under a picture of one while wearing what?,"['gazelle', 'mascot', 'jane', 'wearing', 'school']"
95,WHo is the most important person in someone's life?,"['important', 'person', 'life']"
96,What is a monkey in a zoo in?,"['zoo', 'monkey']"
97,Where does a doctor work slowly?,"['doctor', 'work', 'slowly', 'does']"
98,The broken faucet uncontrollable poured water into something.  What might that be?,"['faucet', 'water', 'poured', 'uncontrollable', 'broken']"
99,Danny didn't like roll-on deoderant.  He preferred what?,"['deoderant', 'danny', 'roll', 'didn', 'preferred']"
100,"The populace wasn't excited to vote, they knew no matter who they chose it was just another weasel they were sending where?","['populace', 'weasel', 'vote', 'wasn', 'chose']"
101,Jane was afraid of committing perjury at a trial.  What might perjury lead to?,"['perjury', 'jane', 'trial', 'afraid', 'committing']"
102,"Global warming is causing problems in California, and our rapidly changing society still can't keep up with it.   In addition to wildfires, they also have what?","['wildfires', 'california', 'warming', 'causing', 'problems']"
103,"If a person is feeling sad, what do they often seek?","['feeling', 'seek', 'sad', 'person']"
104,What does the animal need to do?,"['animal', 'need', 'does']"
105,What do people pretend to do when someone they like tells a joke?,"['pretend', 'joke', 'like', 'people', 'tells']"
106,"Jane turned to a random page and saw ""sloth."" What might she have been looking at?","['sloth', 'jane', 'page', 'saw', 'looking']"
