,question.stem,keywords,answer
0,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","['school', 'sanctions', 'efforts', 'punishing', 'change']",ignore
1,Sammy wanted to go to where the people were.  Where might he go?,"['sammy', 'people', 'wanted']",populated areas
2,To locate a choker not located in a jewelry box or boutique where would you go?,"['choker', 'jewelry', 'boutique', 'located', 'locate']",jewelry store
3,Google Maps and other highway and street GPS services have replaced what?,"['gps', 'maps', 'google', 'services', 'highway']",atlas
4,"The fox walked from the city into the forest, what was it looking for?","['fox', 'forest', 'walked', 'city', 'looking']",natural habitat
5,What home entertainment equipment requires cable?,"['cable', 'equipment', 'requires', 'entertainment', 'home']",television
6,"The only baggage the woman checked was a drawstring bag, where was she heading with it?","['baggage', 'bag', 'drawstring', 'woman', 'heading']",airport
7,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?","['leftovers', 'mold', 'old', 'forgotten', 'covered']",refrigerator
8,What do people use to absorb extra ink from a fountain pen?,"['ink', 'pen', 'fountain', 'absorb', 'use']",
9,Where is a business restaurant likely to be located?,"['restaurant', 'located', 'business', 'likely']",business sector
10,Where do you put your grapes just before checking out?,"['grapes', 'checking', 'just']",grocery cart
11,"Before getting a divorce, what did the wife feel who was doing all the work?","['wife', 'divorce', 'work', 'feel', 'doing']",bitterness
12,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,"['johnny', 'hobby', 'relaxed', 'bench', 'work']",garden
13,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,"['james', 'cooling', 'die', 'stop', 'quickly']",loss of heat
14,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?","['rooms', 'aromas', 'house', 'favorite', 'drew']",kitchen
15,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?","['cajun', 'marsh', 'stuck', 'peaking', 'man']",louisiana
16,What is it called when you slowly cook using a grill?,"['grill', 'cook', 'slowly', 'using', 'called']",
17,What type of person typically contracts illness?,"['illness', 'person', 'typically', 'contracts', 'type']",
18,Where would you expect to find a pizzeria while shopping?,"['pizzeria', 'shopping', 'expect']",food court
19,"When eating everything on the tasting menu, what does one tend to feel?","['tasting', 'eating', 'menu', 'feel', 'does']",getting full
20,What does playing soccer for a long time lead to?,"['soccer', 'playing', 'long', 'time', 'lead']",getting tired
21,Which entrance would you use if you do not want to use the back entrance?,"['entrance', 'use', 'want']",main
22,You can share files with someone if you have a connection to a what?,"['files', 'share', 'connection']",computer network
23,"The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?","['pedals', 'steering', 'controller', 'throttle', 'accelerator']",airplane
24,"Sean was lying about the body, but he was very scared.  He constantly worried about what?","['sean', 'lying', 'scared', 'worried', 'body']",being found out
25,"The drug kingpin told his man to run errands, this was code to go to all the dealers to do what they had?","['errands', 'code', 'dealers', 'drug', 'kingpin']",take money
26,"Though he could've kept going his body appreciated the rest, it had been constantly what during the day?","['rest', 'day', 'constantly', 'body', 'kept']",moving
27,Too many people want exotic snakes.  The demand is driving what to carry them?,"['snakes', 'exotic', 'demand', 'carry', 'want']",pet shops
28,"Joe suffered many consequences from stabbing a stranger to death.   Among them, the family of the victim did something to him. What was that?","['joe', 'stabbing', 'family', 'victim', 'suffered']",law suit
29,To prevent any glare during the big football game he made sure to clean the dust of his what?,"['dust', 'glare', 'clean', 'football', 'game']",television
30,"I have something in my head I want to share, what ways can I do that?","['share', 'head', 'want', 'ways']",speak information
31,"He wanted a house that was gated off from other places, where should he start looking?","['house', 'gated', 'places', 'looking', 'wanted']",subdivision
32,Where in Southern Europe would you find many canals?,"['canals', 'europe', 'southern']",venice
33,What would a camper need to do before he or she can start cooking food?,"['camper', 'cooking', 'food', 'start', 'need']",light fire
34,What could happen to a paper if you leave it outside even if it does not move?,"['paper', 'outside', 'leave', 'happen', 'does']",saturated with water
35,"Mark's semen was very thick, but after his vasectomy it was also what?","['semen', 'vasectomy', 'mark']",clear
36,What is a great place to lay in the sun?,"['sun', 'place', 'lay', 'great']",beach
37,Where would you find a seafood restaurant in the east coast of North America?,"['seafood', 'coast', 'restaurant', 'north', 'east']",maine
38,The president is the leader of what institution?,"['president', 'leader', 'institution']",government
39,Sitting to close while watching TV can cause what sort of pain?,"['pain', 'tv', 'sitting', 'watching', 'cause']",headache
