,answerKey,id,question.question_concept,question.choices,question.stem,keywords
0,A,075e483d21c29a511267ef62bedc0461,punishing,"[{'label': 'A', 'text': 'ignore'}, {'label': 'B', 'text': 'enforce'}, {'label': 'C', 'text': 'authoritarian'}, {'label': 'D', 'text': 'yell at'}, {'label': 'E', 'text': 'avoid'}]","The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","['school', 'sanctions', 'efforts', 'punishing', 'change']"
1,B,61fe6e879ff18686d7552425a36344c8,people,"[{'label': 'A', 'text': 'race track'}, {'label': 'B', 'text': 'populated areas'}, {'label': 'C', 'text': 'the desert'}, {'label': 'D', 'text': 'apartment'}, {'label': 'E', 'text': 'roadblock'}]",Sammy wanted to go to where the people were.  Where might he go?,"['sammy', 'people', 'wanted']"
2,A,4c1cb0e95b99f72d55c068ba0255c54d,choker,"[{'label': 'A', 'text': 'jewelry store'}, {'label': 'B', 'text': 'neck'}, {'label': 'C', 'text': 'jewlery box'}, {'label': 'D', 'text': 'jewelry box'}, {'label': 'E', 'text': 'boutique'}]",To locate a choker not located in a jewelry box or boutique where would you go?,"['choker', 'jewelry', 'boutique', 'located', 'locate']"
3,D,02e821a3e53cb320790950aab4489e85,highway,"[{'label': 'A', 'text': 'united states'}, {'label': 'B', 'text': 'mexico'}, {'label': 'C', 'text': 'countryside'}, {'label': 'D', 'text': 'atlas'}, {'label': 'E', 'text': 'oceans'}]",Google Maps and other highway and street GPS services have replaced what?,"['gps', 'maps', 'google', 'services', 'highway']"
4,C,23505889b94e880c3e89cff4ba119860,fox,"[{'label': 'A', 'text': 'pretty flowers.'}, {'label': 'B', 'text': 'hen house'}, {'label': 'C', 'text': 'natural habitat'}, {'label': 'D', 'text': 'storybook'}, {'label': 'E', 'text': 'dense forest'}]","The fox walked from the city into the forest, what was it looking for?","['fox', 'forest', 'walked', 'city', 'looking']"
5,D,e8a8b3a2061aa0e6d7c6b522e9612824,cable,"[{'label': 'A', 'text': 'radio shack'}, {'label': 'B', 'text': 'substation'}, {'label': 'C', 'text': 'cabinet'}, {'label': 'D', 'text': 'television'}, {'label': 'E', 'text': 'desk'}]",What home entertainment equipment requires cable?,"['cable', 'equipment', 'requires', 'entertainment', 'home']"
6,E,09555c056f3cf0b7e0b84d8df4be1db7,drawstring bag,"[{'label': 'A', 'text': 'garbage can'}, {'label': 'B', 'text': 'military'}, {'label': 'C', 'text': 'jewelry store'}, {'label': 'D', 'text': 'safe'}, {'label': 'E', 'text': 'airport'}]","The only baggage the woman checked was a drawstring bag, where was she heading with it?","['baggage', 'bag', 'drawstring', 'woman', 'heading']"
7,B,3d0f8824ea83ddcc9ab03055658b89d3,mold,"[{'label': 'A', 'text': 'carpet'}, {'label': 'B', 'text': 'refrigerator'}, {'label': 'C', 'text': 'breadbox'}, {'label': 'D', 'text': 'fridge'}, {'label': 'E', 'text': 'coach'}]","The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?","['leftovers', 'mold', 'old', 'forgotten', 'covered']"
8,E,86c59f14af97b33ec13edc6ec4389e31,fountain pen,"[{'label': 'A', 'text': 'shirt pocket'}, {'label': 'B', 'text': ""calligrapher's hand""}, {'label': 'C', 'text': 'inkwell'}, {'label': 'D', 'text': 'desk drawer'}, {'label': 'E', 'text': 'blotter'}]",What do people use to absorb extra ink from a fountain pen?,"['ink', 'pen', 'fountain', 'absorb', 'use']"
9,D,cae61908c731d4a20889e04c3e784ebe,restaurant,"[{'label': 'A', 'text': 'town'}, {'label': 'B', 'text': 'at hotel'}, {'label': 'C', 'text': 'mall'}, {'label': 'D', 'text': 'business sector'}, {'label': 'E', 'text': 'yellow pages'}]",Where is a business restaurant likely to be located?,"['restaurant', 'located', 'business', 'likely']"
10,B,1a7f5b3c65364d9be002576660c914fe,grape,"[{'label': 'A', 'text': 'mouth'}, {'label': 'B', 'text': 'grocery cart'}, {'label': 'C', 'text': 'super market'}, {'label': 'D', 'text': 'fruit basket'}, {'label': 'E', 'text': 'fruit market'}]",Where do you put your grapes just before checking out?,"['grapes', 'checking', 'just']"
11,C,dac769116ed064bc70936c15eb822c3e,getting divorce,"[{'label': 'A', 'text': 'harder'}, {'label': 'B', 'text': 'anguish'}, {'label': 'C', 'text': 'bitterness'}, {'label': 'D', 'text': 'tears'}, {'label': 'E', 'text': 'sadness'}]","Before getting a divorce, what did the wife feel who was doing all the work?","['wife', 'divorce', 'work', 'feel', 'doing']"
12,C,f5c9664c9930b704f2724fbd617bee9d,bench,"[{'label': 'A', 'text': 'state park'}, {'label': 'B', 'text': 'bus depot'}, {'label': 'C', 'text': 'garden'}, {'label': 'D', 'text': 'gym'}, {'label': 'E', 'text': 'rest area'}]",Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,"['johnny', 'hobby', 'relaxed', 'bench', 'work']"
13,A,b63b9809c203321d6659ddf8551894bf,cooling off,"[{'label': 'A', 'text': 'loss of heat'}, {'label': 'B', 'text': 'revenge'}, {'label': 'C', 'text': 'expansion'}, {'label': 'D', 'text': 'relaxation'}, {'label': 'E', 'text': 'calm down'}]",James was cooling off two quickly.  He would die if he didn't find some way to stop what?,"['james', 'cooling', 'die', 'stop', 'quickly']"
14,C,527e72eb38950b8031ee6217ef531960,house,"[{'label': 'A', 'text': 'yard'}, {'label': 'B', 'text': 'basement'}, {'label': 'C', 'text': 'kitchen'}, {'label': 'D', 'text': 'living room'}, {'label': 'E', 'text': 'garden'}]","Of all the rooms in a house it was his favorite, the aromas always drew him to the what?","['rooms', 'aromas', 'house', 'favorite', 'drew']"
15,D,e6766a66f8d326bf00fbf628a0e4ef24,marsh,"[{'label': 'A', 'text': 'low lands'}, {'label': 'B', 'text': 'new york'}, {'label': 'C', 'text': 'forest'}, {'label': 'D', 'text': 'louisiana'}, {'label': 'E', 'text': 'everglades'}]","Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?","['cajun', 'marsh', 'stuck', 'peaking', 'man']"
